Anton;velentzis2017.pdf;How will transitioning from cytology to HPV testing change the balance between the benefits and harms of cervical cancer screening? Estimates of the impact on cervical cancer, treatment rates and adverse obstetric outcomes in Australia, a high vaccination coverage country;Louiza S Velentzis, Michael Caruana, Kate T Simms, Jie-Bin Lew, Ju-Fang Shi, Marion Saville, Megan A Smith, Sarah J Lord, Jeffrey Tan, Deborah Bateson, Michael Quinn, Karen Canfell;
Anton;Draisma2009.pdf;lead time and overdiagnosis in prostate-specific antigen screening importance of methods and context;Wong SS, Leong AP, Leong TY.;
Anton;Campos2016.pdf;cost-effectiveness of an hpv self-collection campaign in uganda comparing models for delivery of cervical cancer screening in a low-income setting;Mandelblatt JS, Lawrence WF, Womack SM, Jacobson D, Yi B, Hwang YT, Gold K, Barter J, Shah K.;
Anton;montz2001.pdf;impact of increasing papanicolaou test sensitivity and compliance a modeled cost and outcomes analysis;Manuel MR, Chen LM, Caughey AB, Subak LL.;
Anton;hsieh2002.pdf;assessing chronic disease progression using non-homogeneous exponential regression markov models an illustration using a selective breast cancer screening in taiwan;Haug, U  Brenner, H;
Anton;feuer2002.pdf;modeling the impact of the decline in distant stage disease on prostate carcinoma mortality rates;;
Anton;draisma2003.pdf;lead times and overdetection due to prostate-specific antigen screening estimates from the european randomized study of screening for prostate cancer;Wu, Grace Hui-Min  Wang, Yi-Ming  Yen, Amy Ming-Fang  Wong, Jau-Min  Lai, Hsin-Chih  Warwick, Jane  Chen, Tony Hsiu-Hsi;
Anton;yen2003.pdf;quantifying the potential problem of overdiagnosis of ductal carcinoma in situ in breast cancer screening;Vijayaraghavan, Arthi  Efrusy, Molly  Lindeque, Gerhard  Dreyer, Greta  Santas, Christopher;
Anton;goldie2004.pdf;projected clinical benefits and cost-effectiveness of a human papillomavirus 1618 vaccine;Leshno M, Halpern Z, Arber N.;
Anton;pinsky2004.pdf;An Early- and Late-Stage Convolution Model for Disease Natural History;Plevritis S.K., Salzman P., Sigal B.M., Glynn P.W.;
Anton;barratt2005.pdf;model of outcomes of screening mammography information to support informed choices;Manser, R  Dalton, A  Carter, R  Byrnes, G  Elwood, M  Campbell, DA;
Anton;manser2005.pdf;cost-effectiveness analysis of screening for lung cancer with low dose spiral ct computed tomography in the australian setting;Lansdorp-Vogelaar, Iris  van Ballegooijen, Marjolein  Zauber, Ann G.  Boer, Rob  Wischut, Janneke  Habbema, J. Dik F.;
Anton;haug2005.pdf;a simulation model for colorectal cancer screening potential of stool tests with various performance characteristics compared with screening colonoscopy;Berg B., Denton B., Nelson H., Balasubramanian H., Rahman A., Bailey A., Lindor K.;
Anton;siebert2005.pdf;the german cervical cancer screening model development and validation of a decision-analytic model for cervical cancer screening in germany;Torvinen S, Nieminen P, Lehtinen M, Paavonen J, Demarteau N, Hahl J.;
Anton;groenewoud2006.pdf;cost-effectiveness of different reading and referral strategies in mammography screening in the netherlands;Weedon-Fekjaer, Harald  Lindqvist, Bo H.  Vatten, Lars J.  Aalen, Odd O.  Tretli, Steinar;
Anton;plevritis2006.pdf;a natural history model of stage progression applied to breast cancer;Anonychuk AM, Bauch CT, Merid MF, Van Kriekinge G, Demarteau N.;
Anton;stout2006.pdf;retrospective cost-effectiveness analysis of screening mammography;Diaz M, de Sanjose S, Ortendahl J, O'Shea M, Goldie SJ, Bosch FX, Kim JJ.;
